color_id,ldraw_color_id
0,0
1,1
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,14
15,15
17,17
18,18
19,19
20,20
21,21
22,22
23,23
25,25
26,26
27,27
28,28
29,29
30,30
31,31
32,32
33,33
34,34
35,35
36,36
40,40
41,43
42,42
45,37
46,46
47,47
52,52
54,54
57,38
60,60
61,61
62,62
63,63
64,64
68,68
70,70
71,71
72,72
73,73
74,74
75,75
77,77
78,78
79,79
80,80
81,81
82,82
84,84
86,86
92,92
100,100
110,110
114,114
115,115
117,117
118,118
120,120
125,121
129,129
132,132
133,133
134,134
135,135
142,142
143,41
148,148
150,150
151,151
158,326
179,315
182,57
183,183
191,191
212,212
216,216
226,226
230,45
232,232
272,272
288,288
294,294
297,297
308,308
313,313
320,320
321,321
322,322
323,323
326,330
334,334
335,335
351,351
366,366
373,373
378,378
379,379
383,383
450,450
462,462
484,484
503,503
1000,329
1001,112
1002,339
1003,302
1005,234
1007,218
1012,509
1013,30001
1014,30032
1015,30002
1016,30040
1018,30003
1020,30004
1021,30009
1022,30005
1023,30013
1024,30033
1025,30012
1026,30039
1027,30035
1028,30006
1029,30015
1030,30014
1031,30007
1032,30034
1033,30008
1035,30038
1036,30011
1037,30037
1038,30016
1039,30000
1040,30082
1041,30083
1042,30084
1043,30085
1044,30086
1045,30087
1046,30088
1048,30090
1049,30091
1050,353
1052,341
1053,362
1054,364
1055,360
1058,285
1059,365
1060,367
1061,10366
1064,508
1065,189
1067,128
1069,176
1072,187
1073,83
1077,510
1088,370
1091,225
1092,300
1093,220
1095,10375
1096,10351
1102,158
1136,402
1137,422
1138,423
1139,376
1145,424
1146,430
1147,89
